관측소코드,관측소명,행정구역코드,행정구역명,X좌표,Y좌표
65586,군포당정,4141051000,경기도군포시군포1동,208933.5168,402863.8759
87236,김포양촌,4157025600,경기도김포시양촌읍,266747.6916,434406.3847
84014,남양주별내,4136031000,경기도남양주시별내면,258642.0014,411324.0472
9871,동두천상패,4125060000,경기도동두천시상패동,353931.0239,484675.5106
84007,강릉연곡,4215037000,강원도강릉시연곡면,204816.9453,470565.9089
82004,강릉왕산,4215032000,강원도강릉시왕산면,223836.0483,506552.0641
9866,강릉홍제,4215051000,강원도강릉시홍제동,305610.419,525250.8636
73502,고성토성,4282033000,강원도고성군토성면,376428.1724,408989.2921
95515,인제남면,4281031000,강원도인제군남면,260606.934,184666.8195
95517,인제서화,4281034000,강원도인제군서화면,366061.3818,256702.6648
84011,인제인제,4281025000,강원도인제군인제읍,226070.838,141840.1165
9872,수원오목천,4111355000,경기도수원시권선구평동,263596.205,299213.9235
9874,시흥군자,4139058100,경기도시흥시군자동,372987.3568,291762.6083
95531,군위산성,4772036000,경상북도군위군산성면,188412.4977,443535.6893
9893,군위의흥,4772035000,경상북도군위군의흥면,191650.6449,406894.2268
95533,김천대덕,4715044000,경상북도김천시대덕면,275985.2582,397878.0615
241,대구비산,2717055000,대구광역시서구비산1동,302700.3037,435237.4763
9887,안동태화,4717060000,경상북도안동시태화동,245485.4187,337274.8683
87260,영덕달산,4777033000,경상북도영덕군달산면,432041.1656,284396.0975
65026,영덕영해,4777036000,경상북도영덕군영해면,174785.4647,371368.8957
65029,영양입암,4776031000,경상북도영양군입암면,326409.5961,386026.9414
65069,영주문정,4721062000,경상북도영주시가흥1동,187278.7626,314192.5034
11749,동해귀운,4217060000,강원도동해시북평동,184978.4209,441054.9482
84008,삼척마평,4223057000,강원도삼척시성내동,182724.9258,353990.5028
84009,삼척신기,4223036000,강원도삼척시신기면,247983.6643,314785.7197
73504,속초노학,4221057000,강원도속초시노학동,409882.2413,360347.6064
65025,양양손양,4283032000,강원도양양군손양면,226508.5136,359173.3316
73505,영월영월,4275025000,강원도영월군영월읍,168895.8575,379474.8929
11747,원주문막,4213025000,강원도원주시문막읍,153572.3686,213875.156
65064,양평개군,4183041000,경기도양평군개군면,369939.888,330519.1794
65066,양평양동,4183038000,경기도양평군양동면,181210.0758,291157.8574
95508,양평양서,4183033000,경기도양평군양서면,320246.8664,293665.2766
9876,양평용문,4183040000,경기도양평군용문면,192584.4289,310457.42
87240,여주점동,4167031000,경기도여주시점동면,265742.5115,308999.507
9877,여주여주,4167052000,경기도여주시중앙동,375179.194,369898.8055
87241,오산궐동,4137053000,경기도오산시남촌동,166375.4173,305953.1083
87243,용인남사,4146132000,경기도용인시처인구남사면,349277.6318,251879.033
11741,용인마평,4146154000,경기도용인시처인구동부동,339176.5993,266682.5287
65610,의정부신곡,4115056700,경기도의정부시신곡1동,190016.5596,132547.5265
11745,이천율현,4150052000,경기도이천시중리동,317507.5442,186597.3683
87244,파주문산,4148025000,경기도파주시문산읍,230096.0714,197725.7326
95510,평택안중,4122025300,경기도평택시안중읍,283575.2421,247735.0905
87245,평택진위,4122031000,경기도평택시진위면,184071.9191,229622.6378
11743,평택통복,4122061000,경기도평택시통복동,206170.1512,267409.8745
82007,정선동면,4277036000,강원도정선군화암면,227937.4689,178746.8898
95518,철원철원,4278025000,강원도철원군철원읍,387882.1359,237504.2793
9867,태백황지,4219051500,강원도태백시황지동,334757.8091,238139.6762
9869,평창대화,4276033000,강원도평창군대화면,350679.199,151485.4026
82012,평창봉평,4276034000,강원도평창군봉평면,198121.815,262736.8315
65587,평창진부,4276036000,강원도평창군진부면,202860.2493,151989.886
82015,홍천서석,4272034000,강원도홍천군서석면,358575.4379,239123.6184
65589,홍천홍천,4272025000,강원도홍천군홍천읍,286101.1503,277382.0056
73510,화천간동,4279031000,강원도화천군간동면,408031.2293,220517.6806
9870,횡성안흥,4273032000,강원도횡성군안흥면,151882.9633,-5125.638631
73514,횡성횡성,4273025000,강원도횡성군횡성읍,132086.1553,-18756.84443
2224,가평가평,4182025000,경기도가평군가평읍,239668.1517,417451.4261
9875,가평북면,4182035000,경기도가평군북면,203761.1201,489548.0498
95506,가평상면,4182033000,경기도가평군상면,310770.2307,408811.3152
65009,광명철산,4121059000,경기도광명시철산1동,253449.1849,394007.2089
65010,광주광주,4161051000,경기도광주시경안동,218838.7883,415410.2322
82029,부안상서,4580039000,전라북도부안군상서면,232721.6363,336047.2856
65056,순창순창,4577025000,전라북도순창군순창읍,176060.9633,299355.8946
82031,순창쌍치,4577036000,전라북도순창군쌍치면,263927.819,332012.8808
65596,완주고산,4571036000,전라북도완주군고산면,328148.7887,167234.9582
87256,완주삼례,4571025000,전라북도완주군삼례읍,235598.107,231880.7117
65031,완주용진,4571031000,전라북도완주군용진면,173348.7621,132991.2984
65597,완주운주,4571038000,전라북도완주군운주면,225303.385,157583.9938
95526,익산낭산,4514037000,전라북도익산시낭산면,367126.517,265296.2933
73524,장수번암,4574032000,전라북도장수군번암면,303426.6904,214403.5299
9908,장수산서,4574031000,전라북도장수군산서면,280814.0988,150044.4627
65074,장수장수,4574025000,전라북도장수군장수읍,396026.3513,212023.8028
11767,전주만성,4511366000,전라북도전주시덕진구동산동,213459.5579,207911.1517
82032,정읍상평,4518059500,전라북도정읍시상교동,245092.6506,227999.6124
65076,정읍신태인,4518025000,전라북도정읍시신태인읍,252692.6264,168779.8658
65608,정읍옹동,4518041000,전라북도정읍시옹동면,199284.1593,222504.7308
65039,진안마령,4572037000,전라북도진안군마령면,256630.7244,142519.2941
65598,진안정천,4572039000,전라북도진안군정천면,283256.9403,257003.138
9917,예산덕산,4481036000,충청남도예산군덕산면,190957.9451,361880.767
11763,예산예산,4481025000,충청남도예산군예산읍,221753.4126,322710.7214
73519,예산오가,4481040000,충청남도예산군오가면,151485.948,362010.1133
9909,서산석남,4421055000,충청남도서산시석남동,386355.8181,347572.3931
65595,천안북면,4413133000,충청남도천안시동남구북면,329990.8274,245327.4732
73521,천안수신,4413135000,충청남도천안시동남구수신면,186331.0485,249987.2885
11761,천안성거,4413325300,충청남도천안시서북구성거읍,315923.884,248479.2144
65057,순천상사,4615040000,전라남도순천시상사면,210169.9392,338080.9499
65058,순천승주,4615025000,전라남도순천시승주읍,134072.5086,368158.7888
9897,순천외서,4615037000,전라남도순천시외서면,189335.4589,293048.9889
6752,순천풍덕,4615058000,전라남도순천시풍덕동,169758.0523,321521.8492
82035,여수소라,4613031000,전라남도여수시소라면,338620.5161,288693.642
82036,영광불갑,4687033000,전라남도영광군불갑면,217776.0611,375475.0328
84032,영천금노,4723055500,경상북도영천시남부동,298293.7921,310940.656
82040,영천화북,4723034000,경상북도영천시화북면,352318.8437,292957.3764
8936,예천예천,4790025000,경상북도예천군예천읍,163751.5183,368841.3809
87262,울진북면,4793031000,경상북도울진군북면,248191.0788,189172.634
65032,울진온정,4793036000,경상북도울진군온정면,233560.7916,248636.3989
82019,보령웅천,4418025000,충청남도보령시웅천읍,226846.241,345410.6981
87250,보령청라,4418035000,충청남도보령시청라면,141569.5473,367815.1212
82021,보령청소,4418034000,충청남도보령시청소면,271949.029,322815.2379
65020,부여규암,4476031000,충청남도부여군규암면,246121.2584,289276.4211
4854,부여부여_충,4476025000,충청남도부여군부여읍,255694.2752,361224.2387
9914,부여양화,4476040000,충청남도부여군양화면,169971.3407,356358.8436
9915,부여옥산,4476037000,충청남도부여군옥산면,242338.7947,351282.2794
87251,부여은산,4476032000,충청남도부여군은산면,310593.0941,343345.2728
65043,태안원북,4482535000,충청남도태안군원북면,238765.4074,263995.2779
65044,태안태안,4482525000,충청남도태안군태안읍,170762.8469,243241.7254
84025,홍성결성,4480036000,충청남도홍성군결성면,288531.5577,232826.8211
65014,단양단양,4380025000,충청북도단양군단양읍,204588.8915,458055.4502
65591,보은마로,4372033000,충청북도보은군마로면,406126.9762,326346.2001
11757,보은보은,4372025000,충청북도보은군보은읍,254164.796,358374.3772
65067,영동심천,4374040000,충청북도영동군심천면,344320.8986,367870.0384
65028,영동양강,4374036000,충청북도영동군양강면,228414.2403,288748.6135
65070,옥천군북,4373038000,충청북도옥천군군북면,246522.8985,238444.379
11755,옥천청성,4373034000,충청북도옥천군청성면,173203.1075,224564.0676
11758,청원미원,4377034000,충청북도음성군대소면,134904.6385,178053.2059
65034,음성생극,4377036000,충청북도음성군생극면,300636.7718,178373.7154
65077,제천청풍,4315032000,충청북도제천시청풍면,214297.8824,264187.2196
65013,증평증평,4374525000,충청북도증평군증평읍,287412.0343,269324.3376
65040,진천진천,4375025000,충청북도진천군진천읍,305946.5739,246181.4342
4084,청원가덕,4311133000,충청북도청주시상당구가덕면,385220.7236,252698.7948
9920,청주내덕,4311452000,충청북도청주시청원구내덕1동,384869.6765,181555.6822
11759,청원북일,4311425000,충청북도청주시청원구내수읍,182978.3972,194551.5848
65079,청원강내,4311331000,충청북도청주시흥덕구강내면,211016.9411,167190.5104
9922,충주동량,4313040000,충청북도충주시동량면,366637.9538,210890.4906
11779,장성황룡,4688036000,전라남도장성군황룡면,236370.353,213726.0257
65038,장흥장흥,4680025000,전라남도장흥군장흥읍,190164.3155,242470.2035
95528,진도의신,4690033000,전라남도진도군의신면,231119.6928,151662.2891
9900,함평신광,4686032000,전라남도함평군신광면,144278.5522,146360.9564
9901,해남해남,4682025000,전라남도해남군해남읍,198731.4584,248816.0343
65599,해남현산,4682033000,전라남도해남군현산면,285863.7992,197729.9105
87258,화순남면,4679041000,전라남도화순군남면,223489.5998,276800.4675
9903,화순능주,4679035000,전라남도화순군능주면,328412.5097,276731.4098
65080,화순북면,4679039000,전라남도화순군북면,374138.1097,274741.2398
73531,화순이양,4679034000,전라남도화순군이양면,408609.1086,280721.5202
11769,고창고수,4579031000,전라북도고창군고수면,214763.515,527496.4532
82024,고창상하,4579035000,전라북도고창군상하면,269582.5747,506281.063
84027,고창성내,4579041000,전라북도고창군성내면,222028.4854,435411.8984
82025,고창흥덕,4579040000,전라북도고창군흥덕면,348442.1526,506131.6163
11772,군산서수,4513034000,전라북도군산시서수면,188307.1748,426447.4662
95523,군산임피,4513033000,전라북도군산시임피면,245555.9866,439691.246
9904,김제봉남,4521043000,전라북도김제시봉남면,195387.6494,434645.9163
87253,김제부량,4521036000,전라북도김제시부량면,382077.3902,429137.6241
84028,김제용지,4521034000,전라북도김제시용지면,331155.2979,410804.6768
5723,남원도통,4519059000,전라북도남원시도통동,277052.2423,465840.7844
95524,무주무주,4573025000,전라북도무주군무주읍,353525.2777,459534.6055
87254,무주무풍,4573031000,전라북도무주군무풍면,198182.3241,480451.2652
82027,부안백산,4580038000,전라북도부안군백산면,289901.9688,344455.7436
9855,부산동대신,2614052000,부산광역시서구동대신2동,414495.2898,340903.6179
84030,김천부항,4715043000,경상북도김천시부항면,197303.8158,416109.1912
73535,김천지좌,4715061000,경상북도김천시지좌동,249889.3416,441141.8167
9885,문경농암,4728037000,경상북도문경시농암면,335504.2446,521876.2775
65018,문경문경,4728025000,경상북도문경시문경읍,285661.2227,392358.0095
65600,문경영순,4728031000,경상북도문경시영순면,389084.4068,439115.0996
11802,봉화명호,4792037000,경상북도봉화군명호면,184423.9377,353168.8077
73536,봉화재산,4792036000,경상북도봉화군재산면,369676.0586,374785.5689
11798,상주공성,4725035000,경상북도상주시공성면,213218.1424,309225.4916
65054,상주서문,4725055000,경상북도상주시동문동,197809.3498,334524.9952
73538,안동길안,4717039000,경상북도안동시길안면,234685.6769,313536.6523
84015,안산부곡,4127157000,경기도안산시상록구부곡동,395069.6417,294626.2982
95502,서울장위,1129076000,서울특별시성북구장위1동,303819.995,324857.1268
82017,세종부강,3611033000,세종특별자치시세종시부강면,158486.3572,337597.7112
65594,세종조치원,3611025000,세종특별자치시세종시조치원읍,354478.9866,298524.5361
87267,의령낙서,4872038000,경상남도의령군낙서면,404272.698,210244.2309
9881,의령봉수,4872040000,경상남도의령군봉수면,246450.9787,160226.7644
73547,의령의령,4872025000,경상남도의령군의령읍,260240.6938,211270.5271
73548,진주일반성,4817036000,경상남도진주시일반성면,175470.9311,171386.9102
9250,진주초전,4817069500,경상남도진주시초장동,206525.5412,259247.4572
9883,창녕성산,4874032000,경상남도창녕군성산면,161849.7819,103893.4804
65041,창녕영산,4874038000,경상남도창녕군영산면,261504.9742,226067.3578
11782,마산진전,4812534000,경상남도창원시마산합포구진전면,328880.0629,445627.9041
65016,대전태평,4812951000,경상남도창원시진해구중앙동,207627.2235,388843.7562
65045,통영용남,4822031000,경상남도통영시용남면,333549.2198,155893.585
73550,하동화개,4885031000,경상남도하동군화개면,235601.7287,168771.5226
82049,함양병곡,4887040000,경상남도함양군병곡면,195705.3679,168972.6012
87268,합천삼가,4889043000,경상남도합천군삼가면,181473.1044,119612.6027
84041,합천야로,4889034000,경상남도합천군야로면,194903.9587,192559.4022
65049,합천적중,4889040000,경상남도합천군적중면,155103.9569,190397.1461
11804,경산남산,4729035000,경상북도경산시남산면,408799.7549,401964.5109
73532,경산진량,4729025300,경상북도경산시진량읍,183532.9599,398996.2102
11794,경주산내,4713034000,경상북도경주시산내면,180891.2054,428577.0491
9891,고령고령,4783025000,경상북도고령군고령읍,195159.8924,397898.8047
87237,안양비산,4719061000,경상북도구미시비산동,352819.0013,341365.258
11796,구미원평,4719052000,경상북도구미시원평1동,355599.1598,429447.4266
84005,대구가창,2771031000,대구광역시달성군가창면,244942.8331,481671.0042
9856,대구현풍,2771036000,대구광역시달성군현풍면,254761.3444,422884.1597
95534,제주노형,5011066000,제주특별자치도제주시노형동,180834.1451,245389.6535
95536,제주한경,5011031000,제주특별자치도제주시한경면,278844.1477,215632.3681
87234,원주명륜,4155051000,경기도안성시안성1동,178124.7099,198046.2618
82001,양주광적,4163033000,경기도양주시광적면,232586.7402,345399.171
65602,청도청도,4782025300,경상북도청도군청도읍,316548.3398,229220.2063
84031,청송부남,4775032000,경상북도청송군부남면,213902.0664,148089.2844
11800,청송파천,4775036000,경상북도청송군파천면,133783.6193,104349.8526
73540,칠곡가산,4785033000,경상북도칠곡군가산면,314978.8694,220217.0393
82045,칠곡왜관,4785025000,경상북도칠곡군왜관읍,187002.5676,185410.1867
73541,포항구룡포,4711125000,경상북도포항시남구구룡포읍,171819.8608,210953.6346
7850,포항연일,4711125300,경상북도포항시남구연일읍,197397.5714,235723.4987
73543,포항기북,4711336000,경상북도포항시북구기북면,399960.5829,233278.1846
84006,광주운정,2917068500,광주광역시북구석곡동,302375.7549,506922.8482
442,광주유덕,2914074000,광주광역시서구유덕동,336218.0484,461040.4024
84003,부산장안,2671025300,부산광역시기장군장안읍,267581.0227,295261.2725
95512,포천영북,4165039000,경기도포천시영북면,338702.631,218058.8942
65047,포천화현,4165041000,경기도포천시화현면,154195.1779,184305.8395
82003,화성양감,4159040000,경기도화성시양감면,186536.6782,276125.5367
87248,화성우정,4159025600,경기도화성시우정읍,258402.1728,277595.2442
84020,화성팔탄,4159036000,경기도화성시팔탄면,188809.6906,276207.0161
11784,거제신현,4831059000,경상남도거제시상문동,185019.9619,484537.2798
9879,거창거창,4888025000,경상남도거창군거창읍,366059.827,473642.647
82046,거창신원,4888039000,경상남도거창군신원면,196414.7367,428148.9129
84040,거창웅양,4888032000,경상남도거창군웅양면,253622.6304,464126.0404
65005,고성거류,4882043000,경상남도고성군거류면,385130.0402,444393.8104
87263,김해생림,4825035000,경상남도김해시생림면,227774.8632,448712.9685
84039,남해남해,4884025000,경상남도남해군남해읍,245726.3422,508288.014
11786,밀양가곡,4827054000,경상남도밀양시가곡동,189565.0972,308578.6708
73544,밀양단장,4827035000,경상남도밀양시단장면,236070.8566,328180.0935
84036,사천사천,4824025000,경상남도사천시사천읍,384882.2793,319564.906
84038,산청단성,4886037000,경상남도산청군단성면,240884.5627,373142.2282
73545,산청산청,4886025000,경상남도산청군산청읍,139885.4371,364015.1332
87265,양산웅상,4833057000,경상남도양산시덕계동,258798.2759,349352.9168
84029,무안해제,4684036000,전라남도무안군해제면,211013.9698,466822.3339
65019,보성겸백,4678033000,전라남도보성군겸백면,163560.5608,327156.5954
82034,보성벌교,4678025300,전라남도보성군벌교읍,382537.8534,331430.5864
9860,울산범서,3171025900,울산광역시울주군범서읍,162452.5058,118155.6908
9862,울산상북,3171038000,울산광역시울주군상북면,212466.432,188460.9164
9864,울산온양,3171025600,울산광역시울주군온양읍,318153.3165,203211.131
73517,서산운산,4421038000,충청남도서산시운산면,327348.371,350093.2858
87252,서산팔봉,4421033000,충청남도서산시팔봉면,200970.1682,286731.7919
95521,서천마산,4477035000,충청남도서천군마산면,302287.4574,361237.5681
9911,아산도고,4420040000,충청남도아산시도고면,223971.6985,370532.2075
95519,홍천서면,4272037000,강원도홍천군서면,324409.2454,224938.4282
73511,화천사내,4279034000,강원도화천군사내면,174413.3976,-7285.017339
11764,공주반포,4415034000,충청남도공주시반포면,332135.8437,524542.1348
65007,공주신풍,4415040000,충청남도공주시신풍면,224604.9378,487238.1615
84022,공주정안,4415037000,충청남도공주시정안면,295500.4597,497844.1394
73516,금산금산,4471025000,충청남도금산군금산읍,220395.93,445854.9517
11765,논산상월,4423034000,충청남도논산시상월면,248494.6915,487515.0484
65592,당진당진,4427053000,충청남도당진시당진3동,233608.9896,475184.7668
84024,당진순성,4427036000,충청남도당진시순성면,272076.8355,423380.0156
73529,장성남면,4688032000,전라남도장성군남면,181918.3249,211751.0638
82038,장성북이,4688039000,전라남도장성군북이면,360151.5186,221679.8545
65002,강진성전,4681036000,전라남도강진군성전면,192616.9663,390459.1721
65004,강진칠량,4681032000,전라남도강진군칠량면,303447.9451,469680.8694
65006,고흥대서,4677041000,전라남도고흥군대서면,284804.6613,445162.6254
73526,곡성고달,4672036000,전라남도곡성군고달면,304019.36,389755.877
82033,곡성목사동,4672034000,전라남도곡성군목사동면,319981.9738,458820.5246
95527,광양봉강,4623031000,전라남도광양시봉강면,213422.9538,401429.497
87257,구례토지,4673033000,전라남도구례군토지면,205376.9691,407042.2888
11774,나주삼도,4617054000,전라남도나주시금남동,283249.7539,425212.235
6721,목포용당,4611051000,전라남도목포시용당1동,326409.5961,386026.9414
65606,함양마천,4887031000,경상남도함양군마천면,328565.8154,179583.0834
95537,제주조천,5011025900,제주특별자치도제주시조천읍,302468.7366,190465.3111
9858,대전문평,3023058000,대전광역시대덕구목상동,169332.8409,460809.2143
87246,하남하산곡,4145051000,경기도하남시천현동,375034.7287,222868.106
